62,43.417,NO,,,,,,,,,,,14.987,BLANK,,,,,,,,,,,,,,,
63,120,NO,73.75,,,46.25,,,,,,,,120,,,,,,,,,,,,,,,
64,9.447,NO,7.5,,,,,,,1.947,,,,9.447,7.5,SOYBEANS,44,10.42,3440,,,,,,,,,,
65,12.006,NO,8.66,,,,,,,,,,,BLANK,8.66,SOYBEANS,54,8.56,4000,,,,,,,,,,
66,25.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,273.82,NO,228.458,,,40.8,,,,3.2,,,,272.458,,,,,,,,,,,,,,,
69,156.714,NO,101,12,22,20,,,,1.714,,,,156.714,,,,,,,,,,,,,,,
70,356.26,NO,350.26,6,,,,,,,,,,356.26,,,,,,,,,,,,,,,
71,6.081,NO,,6.081,,,,,,,,,,BLANK,6.081,HAY,471 TOTAL,Fed to Herd,4056,,,,,,,,,,
72,98.884,NO,86.4,,,,,,,5.284,,7.2,,98.884,,,,,,,,,,,,,,,
73,159.74,NO,137,,,16.99,,,1.02,,4.73,,,159.74,,,,,,,,,,,,,,,
74,72.041,NO,71.92,,,,,,,,,,,71.92,,,,,,,,,,,,,,,
75,57.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,345.121,NO,288.519,,,38.15,,,1,17.452,,,,345.121,,,,,,,,,,,,,,,
77,137.45,NO,121.63,0,0,8.87,0,0,0,0,25.19,1.76,0,157.45,,,,,,,,,,,,,,,
78,213.71,NO,188,,,8,,,,8.67,,,,196.67,,,,,,,,,,,,,,,
79,155.053,NO,155,,,,,,,,,,,155,,,,,,,,,,,,,,,
80,46.752,NO,31.391,,,10.261,,,,,5.1,,,46.752,,,,,,,,,,,,,,,
81,38.348,NO,36.548,,,1.3,,,,0.5,,,,38.348,,,,,,,,,,,,,,,
82,19.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,40.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,90.069,NO,90.069,,,,,,,,,,,90.069,,,,,,,,,,,,,,,
86,176.83,NO,169.542,,,0.43,,,,6.858,,,,176.83,,,,,,,,,,,,,,,
87,145.322,NO,138.093,,,,,,,3.239,3.99,,,145.322,,,,,,,,,,,,,,,
88,39.724,NO,39,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
89,61.01,NO,61.01,,,,,,,,,,,61.01,,,,,,,,,,,,,,,
90,79.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,50.436,NO,17.6,,,31.218,,,1,0.25,,,,BLANK,,,,,,,,,,,,,,,
93,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,653.393,NO,862.678,,31.23,76.242,,,1,28.117,24.3,12.4,,1048.607,,,,,,,,,,,,,,,
95,200,NO,164.5,,,27.5,,,3,5,,,,200,,,,,,,,,,,,,,,
96,27.695,NO,26.34,,,,,,,1.355,,,,27.695,,,,,,,,,,,,,,,
97,461.013,NO,379.599,,,5.286,,,1,25.448,9.6,,,420.933,,,,,,,,,,,,,,,
98,80,NO,73.07,,,,,,3.81,1.69,1.43,,,80,,,,,,,,,,,,,,,
99,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,26.455,NO,1.09,,,16.76,,,1,7.605,,,,26.455,,,,,,,,,,,,,,,
102,8.42,NO,8.42,,,,,,,,,,,BLANK,8.42,SOYBEANS,60,10,5052,,,,,,,,,,
103,13.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,12.409,NO,3.6,,,8.809,,,1,,,,,BLANK,,,,,,,,,,,,,,,
105,37.299,NO,15.3,,,20,,,1,1,,,,37.3,,,,,,,,,,,,,,,
107,27.927,NO,,,,,26.927,,1,,,,,27.927,,,,,,,,,,,,,,,
109,145.965,NO,110.835,0,0,27.5,0,0,1,3.74,0,2.89,0,145.965,,,,,,,,,,,,,,,
110,98.305,NO,94.8,,,,,,1,2.505,,,,98.305,,,,,,,,,,,,,,,
111,114.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,108.9,NO,88.47,,,14.37,,,,2.28,2.75,1.03,,108.9,,,,,,,,,,,,,,,
113,96.112,NO,59.89,,10.9,16.97,,,,,7.7,,,BLANK,,,,,,,,,,,,,,,
114,117.37,NO,92,,,25.37,,,,,,,,117.37,,,,,,,,,,,,,,,
116,291.46,NO,205.8,,,81.07,,,,,,,,286.87,,,,,,,,,,,,,,,
117,148.84,NO,,144.138,,,,,,4.702,,,,148.84,,,,,,,,,,,,,,,
118,317.579,NO,279.55,8,6,12.22,,,3,,8.73,,,317.5,,,,,,,,,,,,,,,
119,120,NO,109.36,,6,,,,4.64,,,,,BLANK,,,,,,,,,,,,,,,
120,52.37,NO,42.955,,,7.42,,,,1.995,,,,52.37,,,,,,,,,,,,,,,
121,39.355,NO,17.787,,,,,,3,1.9,,,,22.687,,,,,,,,,,,,,,,
122,116.84,NO,94.35,,,17,,,2.84,2.65,,,,116.84,,,,,,,,,,,,,,,
123,78.941,NO,63.73,,,14.96,,,,0.25,,,,BLANK,,,,,,,,,,,,,,,
124,78.9,NO,52.34,,,,,,,26.56,,,,BLANK,,,,,,,,,,,,,,,
125,40.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,40,NO,36.77,,,,,,,3.23,,,,40,,,,,,,,,,,,,,,
127,171.153,NO,165.74,,,2.18,,,,1.603,1.63,,,171.153,,,,,,,,,,,,,,,
128,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,73.33,NO,53.4,,,14.12,,,,5.81,,,,73.33,,,,,,,,,,,,,,,
131,34.191,NO,,,,,34.162,,,0.029,,,,34.191,,,,,,,,,,,,,,,
132,54.058,NO,,8.5,40.3,,,,5.258,,,,,54.058,,,,,,,,,,,,,,,
133,574.32,NO,221.992,268.038,,54.2,,,5.5,22.83,0.43,1.33,,574.32,,,,,,,,,,,,,,,
134,80.75,NO,73.75,,,,,,2,5,,,,80.75,,,,,,,,,,,,,,,
135,62.876,NO,,26.31,,,,,,0.567,,,,26.877,,,,,,,,,,,,,,,
136,118.443,NO,57.33,,,56.163,,,,,4.95,,,118.443,,,,,,,,,,,,,,,
137,107.79,NO,87.38,,,,,,1.55,2.75,16.11,,,107.79,,,,,,,,,,,,,,,
138,142.392,NO,94.7,,2.3,19.73,,,3.5,13.452,8.71,,,142.392,,,,,,,,,,,,,,,
139,75.723,NO,21.839,,,,39.186,,1,6.139,,,1,69.164,,,,,,,,,,,,,,,
140,295.783,NO,245.43,,,20,,,4.14,26.213,,,,295.783,,,,,,,,,,,,,,,
141,55.574,NO,54.355,,,,,,,1.219,,,,55.574,,,,,,,,,,,,,,,
142,37.95,NO,13.307,,,11.872,,,2,0.021,,,,27.2,,,,,,,,,,,,,,,
143,62.578,NO,55.029,,,5.7,,,,1.849,,,,62.578,,,,,,,,,,,,,,,
144,5,NO,5,,,,,,,,,,,BLANK,5,SOYBEANS,5,10.29,2315,,,,,,,,,,
145,120.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,104.677,NO,89.52,,,9.09,,,,3.567,2.5,,,104.677,,,,,,,,,,,,,,,
148,317.658,NO,305,,,,,,1,11.658,,,,317.658,,,,,,,,,,,,,,,
149,32.91,NO,30.7,,,,,,,2.21,,,,32.91,,,,,,,,,,,,,,,
151,4.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,67.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,149.64,NO,133.23,,,12.25,,,,4.16,,,,BLANK,,,,,,,,,,,,,,,
155,103.185,NO,95,,,8,,,,,,,,103,95,BEANS,40,8,30400,,,,,,,,,,
156,69.519,NO,62.457,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
157,15.632,NO,14.632,,,,,,1,,,,,15.632,,,,,,,,,,,,,,,
158,17.99,NO,16.923,0,0,0,0,0,0,1.067,0,0,0,17.99,,,,,,,,,,,,,,,
159,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,161.47,NO,141.14,,10.17,,,,7.76,2.4,,,,161.47,,,,,,,,,,,,,,,
161,142.696,NO,118.056,0,0,19.123,0,0,0,2.821,0,0,0,140,,,,,,,,,,,,,,,
162,164.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,15.834,NO,,,,,15.83,,,,,,,BLANK,,,,,,,,,,,,,,,
164,97.88,NO,70,,,21,,,3,3.88,,,,97.88,,,,,,,,,,,,,,,
165,81.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,32.849,NO,19.87,,2,,,,,10.979,,,,32.849,,,,,,,,,,,,,,,
167,152.35,NO,135.81,,,9,,,2,5.54,,,,152.35,,,,,,,,,,,,,,,
168,113.162,NO,96.5,,,,,,2.17,4.08,,,,102.75,,,,,,,,,,,,,,,
169,94.917,NO,92.02,,,,,,,2.897,,,,BLANK,,,,,,,,,,,,,,,
170,60,NO,52,,,,,,1,6.5,0.5,,,60,,,,,,,,,,,,,,,
171,190.027,NO,132.74,,,43.48,,,,4.11,9.7,,,190.03,,,,,,,,,,,,,,,
172,61.5,NO,56.663,,,1.663,,,1.5,1.674,,,,61.5,,,,,,,,,,,,,,,
173,71.21,NO,60,0,0,3,0,0,3,5.21,,,,71.21,,,,,,,,,,,,,,,
175,168,NO,132,,,31,,,1,4,,,,168,,,,,,,,,,,,,,,
176,58.45,NO,49.67,,,1.5,,,1.4,1.6,4.28,,,58.45,,,,,,,,,,,,,,,
179,275.582,NO,261.229,0,0,7.067,0,0,1,6.486,0,0,0,275.582,,,,,,,,,,,,,,,
180,151.13,NO,30,80,15,12,,,13,1.3,,,,151.3,,,,,,,,,,,,,,,
181,156.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,6.829,NO,1,,2.5,,,,1.329,2,,,,BLANK,1,BEANS,60,9,540,3,HOGS,,,294.15,,,,,
183,120,NO,103.9,,8.28,,,,3,4.42,0.4,,,120,,,,,,,,,,,,,,,
184,16.371,NO,15.951,,,,,,,0.42,,,,16.371,,,,,,,,,,,,,,,
185,59.395,NO,59.395,,,,,,,,,,,59.395,,,,,,,,,,,,,,,
186,12.565,NO,10.565,,,,,,2,,,,,12.565,,,,,,,,,,,,,,,
187,59.511,NO,59.511,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
188,40.66,NO,38.66,,,,,,2,,,,,40.66,,,,,,,,,,,,,,,
189,20.835,NO,,,,,15,,3.8355,2,,,,20.8355,,,,,,,,,,,,,,,
190,144.413,NO,,40,,104.413,,,,,,,,144.413,,,,,,,,,,,,,,,
191,124.587,NO,118.934,,,,,,,,,,,118.934,,,,,,,,,,,,,,,
192,100,NO,,,,,,,,,100,,,100,,,,,,,,,,,,,,,
193,40.047,NO,36.73,,,,,,,0.438,,,2.879,40.047,,,,,,,,,,,,,,,
194,118.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,36.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,77.788,NO,55.22,,,11.91,,,10.608,,,,,77.78,,,,,,,,,,,,,,,
199,93.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,30.827,NO,5,,,25.218,,,,0.609,,,,30.827,5,SOYBEANS,52,8.7,2262,,,,,,,,,,
201,32.425,NO,,,,,32.017,,,0.408,,,,32.425,,,,,,,,,,,,,,,
202,161.58,NO,146.67,,,13.67,,,,1.24,,,,BLANK,,,,,,,,,,,,,,,
203,250,NO,233,,,17,,,,,,,,250,,,,,,,,,,,,,,,
204,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,80,NO,73.73,,,3.34,,,1.94,0.99,,,,80,,,,,,,,,,,,,,,
206,79.99,NO,73.3,,,,,,2.5,,4.19,,,79.99,,,,,,,,,,,,,,,
207,16.357,NO,,12.15,,,,,,4.207,,,,16.357,,,,,,,,,,,,,,,
208,29.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,101.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,28.974,NO,28.974,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
211,56.5,NO,,,,,54,,,,,,,54,,,,,,,,,,,,,,,
212,11.214,NO,5,,,5.714,,,,0.5,,,,11.214,,,,,,,,,,,,,,,
213,138.898,NO,124.8,,,,,,1,13.098,,,,138.898,,,,,,,,,,,,,,,
214,80,NO,68.7,,,9.3,,,2,,,,,80,,,,,,,,,,,,,,,
215,42.43,NO,33,,,5.43,,,3,,,1,,BLANK,,,,,,,,,,,,,,,
216,394.023,NO,192.63,,,15.03,,,,3.2,,4.7,,215.83,,,,,,,,,,,,,,,
217,77.493,NO,77.493,,,,,,,,,,,77.493,,,,,,,,,,,,,,,
218,58.572,NO,47.7,,,11.202,,,,,,,,BLANK,,,,,,,,,,,,,,,
219,7.518,NO,5,,,,,,,,,,,5,,,,,,,,,,,,,,,
220,98.772,NO,79.809,,,15.653,,,,,3.31,,,98.772,,,,,,,,,,,,,,,
222,215.086,NO,192.846,,,7.35,,,2,12.89,,,,215.086,,,,,,,,,,,,,,,
223,457.517,NO,439.5,,,9.05,,,,8.967,,,,457.517,,,,,,,,,,,,,,,
224,136,NO,108,,,20,,,4,4,,,,136,,,,,,,,,,,,,,,
225,191.008,NO,175,,,12,,,4,,,,,191,,,,,,,,,,,,,,,
226,79.36,NO,57.12,,,,16.38,,3.36,2.5,,,,79.36,,,,,,,,,,,,,,,
227,137.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,10.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,95.486,NO,87,,,1.71,,,3.306,,3.47,,,95.486,,,,,,,,,,,,,,,
230,228.861,NO,82.104,,,37.345,,,2.521,19.888,70.27,15.733,,227.861,,,,,,,,,,,,,,,
231,251.482,NO,178.55,,,,,,,4.849,14.82,,,198.619,,,,,,,,,,,,,,,
232,92.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,52.516,NO,51.28,,,,,,,0.956,,0.28,,BLANK,,,,,,,,,,,,,,,
234,629.105,NO,471,19,40,70,,,5,10,,,,BLANK,,,,,,,,,,,,,,,
235,228.644,NO,168.63,0,0,49.79,0,0,1,9.22,0,0,0,228.64,,,,,,,,,,,,,,,
236,13.06,NO,0,0,0,9.393,0,0,1,2.667,0,0,0,13.06,,,,,,,,,,,,,,,
237,187.475,NO,173.65,0,0,3.54,0,0,2.68,6.455,1.15,0,0,187.475,,,,,,,,,,,,,,,
238,95.957,NO,82.245,,,7.5,,,,6.212,,,,95.957,,,,,,,,,,,,,,,
239,111.5,NO,104.25,,,,,,3.5,3.75,,,,111.5,,,,,,,,,,,,,,,
240,30.996,NO,,30,,,,,,0.996,,,,30.996,,,,,,,,,,,,,,,
241,8.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,46.507,NO,46.507,,,,,,,,,,,46.507,,,,,,,,,,,,,,,
243,71.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,41.058,NO,38,0,0,0,0,0,3.058,0,0,0,0,41.058,,,,,,,,,,,,,,,
245,46.169,NO,37.174,,,3.882,,,,3.013,2.1,,,46.169,,,,,,,,,,,,,,,
246,194.467,NO,180,,,14.47,,,,,,,,194.467,,,,,,,,,,,,,,,
247,6.545,NO,,,,,,,,,,,,,6.545,BEANS,43.55,8.27,2357.19,,,,,,,,,,
248,1372.39,NO,1285.153,,,42.68,,,3,40.257,,,,1372.39,,,,,,,,,,,,,,,
249,138.968,NO,129,,,7,,,2,0.53,0.43,,,138.96,,,,,,,,,,,,,,,
250,121.52,NO,92.882,,,2.785,,,1,3.711,12.864,,3.266,116.508,,,,,,,,,,,,,,,
251,75.871,NO,75.871,,,,,,,,,,,75.871,,,,,,,,,,,,,,,
252,27.547,NO,23.5,,,,,,2,2.04,,,,27.54,,,,,,,,,,,,,,,
253,344.701,NO,283.999,,,10.491,,,1,9.211,,,,304.701,,,,,,,,,,,,,,,
254,17.651,NO,17.651,,,,,,,,,,,17.651,,,,,,,,,,,,,,,
255,213.296,NO,134.981,,,,,,,2,,,,BLANK,,,,,,,,,,,,,,,
256,58.708,NO,28.999,,,,,,,2,,,,30.999,,,,,,,,,,,,,,,
257,80.328,NO,70.781,,,6.705,,,,2.842,,,,80.328,,,,,,,,,,,,,,,
259,29.43,NO,25.54,,,3.89,,,,,,,,29.43,,,,,,,,,,,,,,,
260,8.216,NO,,,,,8.216,,,,,,,8.216,,,,,,,,,,,,,,,
261,76.547,NO,71.6,,,,,,,4.947,,,,76.547,,,,,,,,,,,,,,,
262,61.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,9.933,NO,,,,,9.933,,,,,,,9.933,,,,,,,,,,,,,,,
265,60,NO,60,,,,,,,,,,,60,,,,,,,,,,,,,,,
266,38,NO,,,,15.6,,,,3.37,19.03,,,38,,,,,,,,,,,,,,,
267,15.169,NO,14,,,,,,1,0.169,,,,BLANK,,,,,,,,,,,,,,,
268,34.169,NO,30.699,,,,,,,3.47,,,,34.169,,,,,,,,,,,,,,,
269,273.097,NO,262.881,,,8.216,,,2,,,,,273.097,,,,,,,,,,,,,,,
271,51.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,28.397,NO,,,,28,,,,,,,,28,,,,,,,,,,,,,,,
273,200,NO,153.52,0,31.3,,,,1,14.18,,,,200,,,,,,,,,,,,,,,
274,82.149,NO,74.67,,,,,,1,4.33,,,,80,,,,,,,,,,,,,,,
275,75.53,NO,56.77,,,15.2,,,1,2.56,,,,75.53,,,,,,,,,,,,,,,
276,92.52,NO,49,9,0,16,0,0,3,1,14.5,0,0,92.5,,,,,,,,,,,,,,,
277,69.33,NO,67.376,,,,,,,0.5,,,,67.876,,,,,,,,,,,,,,,
278,28.511,NO,28.51,,,,,,,,,,,28.51,,,,,,,,,,,,,,,
279,160,NO,79,0,0,0,1,0,0,0,0,0,0,BLANK,,,,,,,,,,,,,,,
280,118.808,NO,115.972,,,0.036,,,,2.8,,,,118.808,,,,,,,,,,,,,,,
281,93.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,67.329,NO,64.829,,,,,,1.25,1.25,,,,67.329,,,,,,,,,,,,,,,
283,110.481,NO,101.03,,,6.39,,,,1.811,1.25,,,110.481,,,,,,,,,,,,,,,
284,16.333,NO,7.66,,,,,,4.6,4.07,,,,16.33,,,,,,,,,,,,,,,
285,65.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,20.441,NO,16.436,,,,,,1,3.005,,,,20.441,,,,,,,,,,,,,,,
287,110,NO,92.01,,,,,,2,6.31,9.68,,,111,,,,,,,,,,,,,,,
288,39,NO,37.914,,,0.085,,,,1.001,,,,39,,,,,,,,,,,,,,,
289,87.303,NO,74,,,9,,,1.5,2.8,,,,87.303,,,,,,,,,,,,,,,
290,73.698,NO,73.69,,,,,,,,,,,73.69,,,,,,,,,,,,,,,
291,336,NO,328.435,,,,53,,7,4.418,,,,392.853,,,,,,,,,,,,,,,
292,444.473,NO,420,0,0,20,0,0,3,0,0,0,0,BLANK,,,,,,,,,,,,,,,
294,103.75,NO,80,,,23.75,,,,,,,,103.75,,,,,,,,,,,,,,,
295,17.612,NO,16.612,,,,,,,1,,,,17.612,,,,,,,,,,,,,,,
296,306.864,NO,248.4,0,0,44.82,0,0,0,0,9.4,4.24,0,306.86,,,,,,,,,,,,,,,
297,186.707,NO,123.8,,,10,,,,20.137,32.77,,,186.707,,,,,,,,,,,,,,,
298,186.874,NO,170.55,,,16.324,,,,,,,,186.874,,,,,,,,,,,,,,,
299,28.144,NO,28.144,,,,,,,,,,,28.144,,,,,,,,,,,,,,,
300,30,NO,29.3,,,,,,,0.7,,,,30,,,,,,,,,,,,,,,
301,102.611,NO,74.69,,,25.03,,,,2.89,,,,102.61,,,,,,,,,,,,,,,
302,63.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,724.782,NO,632.857,13.46,14,35.68,,,1,26.325,0.92,0.54,,724.782,,,,,,,,,,,,,,,
305,119.678,NO,103.06,0,0,14.56,0,0,0,2.058,0,0,0,119.678,,,,,,,,,,,,,,,
306,41.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,95.857,NO,79.075,,,12.19,,,2.43,0.672,,1.49,,95.857,,,,,,,,,,,,,,,
308,78.329,NO,71.984,,,,,,,6.345,,,,78.329,,,,,,,,,,,,,,,
309,31.65,NO,21.43,0.75,,,,,1,2.3,4.6,,,31.65,,,,,,,,,,,,,,,
310,18,NO,,,,,11,,1,6,,,,BLANK,,,,,,,,,,,,,,,
311,11.955,NO,9.98,,,,,,,1.975,,,,11.955,,,,,,,,,,,,,,,
312,302.489,NO,230.242,,,50.37,,,3.61,13.267,4.4,0.6,,302.489,,,,,,,,,,,,,,,
313,465.735,NO,366.187,3.63,,55.312,,,1,36.7,2.9,,,465.729,,,,,,,,,,,,,,,
314,1059.477,NO,876.933,,,116.55,,,4.9,43.374,6.9,10.82,,1059.477,,,,,,,,,,,,,,,
315,42.777,NO,,,,,,37.033,1,1.967,,,,BLANK,,,,,,,,,,,,,,,
316,99.511,NO,99.511,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
317,55.65,NO,22.661,0,0,23.569,0,0,1,8.42,0,0,0,55.65,,,,,,,,,,,,,,,
318,100,NO,93.35,,,,,,,,6.65,,,BLANK,,,,,,,,,,,,,,,
319,336.703,NO,316.703,0,0,8,0,0,2,0,10,0,0,336.703,,,,,,,,,,,,,,,
320,220.536,NO,185.16,10,2.5,64.6,,,1,9.448,2.67,,2.66,278.038,,,,,,,,,,,,,,,
321,71.401,NO,,,,,62.586,,1.5,7.315,,,,71.401,,,,,,,,,,,,,,,
322,157.25,NO,,140,,10.75,,,,5.37,0.51,0.62,,157.25,,,,,,,,,,,,,,,
323,80,YES,,,,,,,,,,,,60,,,,,,,,,,,,,,,
324,10.502,NO,,,,8.502,,,2,,,,,10.502,,,,,,,,,,,,,,,
325,126.364,NO,126.364,,,,,,,,,,,126.364,,,,,,,,,,,,,,,
326,59.629,NO,57,,,,,,2,0.629,,,,59.629,,,,,,,,,,,,,,,
327,28.726,NO,4,,,,24.726,,,,,,,BLANK,,,,,,,,,,,,,,,
328,164.3,NO,156.266,,,,,,,8.034,,,,164.3,,,,,,,,,,,,,,,
329,17.218,NO,17.737,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,15.269,NO,9.219,,,2.14,,,2.77,,1.14,,,15.269,,,,,,,,,,,,,,,
332,146.95,NO,,17,,50,,,,0.04,,79.91,,146.95,,,,,,,,,,,,,,,
